Date,Open,High,Low,Close,Volume,Adj Close
2016-08-09,127.940002,128.139999,127.75,127.959999,7184500,127.959999
2016-08-08,127.290001,127.699997,127.269997,127.440002,6773800,127.440002
2016-08-05,128.460007,128.550003,127.389999,127.550003,16205100,127.550003
2016-08-04,130.009995,130.279999,129.820007,129.869995,4908100,129.869995
2016-08-03,129.949997,129.960007,129.270004,129.649994,5010700,129.649994
2016-08-02,130.039993,130.550003,129.940002,130.270004,7652800,130.270004
2016-08-01,128.570007,129.339996,128.559998,129.220001,7109900,129.220001
2016-07-29,128.419998,129.410004,127.879997,128.979996,13708200,128.979996
2016-07-28,128.089996,128.199997,127.209999,127.660004,9261800,127.660004
2016-07-27,126.790001,128.119995,126.040001,128.029999,17066400,128.029999
2016-07-26,126.089996,126.139999,125.75,126.00,7613200,126.00
2016-07-25,125.529999,126.209999,125.110001,125.470001,13139400,125.470001
2016-07-22,126.43,126.519997,126.010002,126.349998,7716000,126.349998
2016-07-21,125.660004,127.370003,125.599998,127.300003,9399200,127.300003
2016-07-20,125.50,126.120003,125.309998,125.389999,11777700,125.389999
2016-07-19,126.949997,127.349998,126.82,127.209999,5170700,127.209999
2016-07-18,127.019997,127.50,126.629997,127.040001,8489700,127.040001
2016-07-15,126.379997,127.190002,126.330002,126.839996,13892100,126.839996
2016-07-14,126.309998,127.370003,126.029999,127.330002,12132400,127.330002
2016-07-13,128.00,128.429993,127.610001,128.320007,7377700,128.320007
2016-07-12,128.520004,128.539993,126.989998,127.150002,26459600,127.150002
2016-07-11,129.490005,129.899994,129.160004,129.289993,10855600,129.289993
2016-07-08,129.850006,130.520004,128.970001,130.520004,17634200,130.520004
2016-07-07,129.820007,130.119995,128.979996,129.740005,16508500,129.740005
2016-07-06,130.50,131.149994,129.820007,130.229996,17376700,130.229996
2016-07-05,128.800003,129.589996,128.169998,129.470001,19026200,129.470001
2016-07-01,127.660004,128.419998,127.440002,128.410004,14940700,128.410004
2016-06-30,125.949997,126.519997,125.50,126.470001,15981600,126.470001
2016-06-29,125.910004,126.809998,125.699997,125.839996,12218400,125.839996
2016-06-28,125.559998,126.019997,125.059998,125.32,16001500,125.32
2016-06-27,126.440002,127.050003,125.830002,126.68,21228800,126.68
2016-06-24,126.620003,126.82,125.00,126.00,35782900,126.00
2016-06-23,120.489998,121.029999,120.059998,120.110001,10704900,120.110001
2016-06-22,120.830002,121.25,120.68,120.900002,7861000,120.900002
2016-06-21,121.650002,121.860001,120.769997,120.839996,14585600,120.839996
2016-06-20,122.260002,123.330002,122.129997,123.209999,11866200,123.209999
2016-06-17,123.260002,124.099998,122.690002,123.949997,15573800,123.949997
2016-06-16,125.169998,125.669998,122.230003,122.379997,26635000,122.379997
2016-06-15,122.519997,123.870003,122.379997,123.68,15053000,123.68
2016-06-14,123.00,123.059998,122.300003,122.769997,11651700,122.769997
2016-06-13,122.800003,122.830002,122.029999,122.639999,12594200,122.639999
2016-06-10,121.550003,122.099998,121.18,121.739998,13940000,121.739998
2016-06-09,120.610001,121.480003,120.550003,121.25,12174000,121.25
2016-06-08,120.300003,120.779999,120.230003,120.580002,11661700,120.580002
2016-06-07,118.50,119.019997,118.410004,118.82,4602900,118.82
2016-06-06,118.889999,119.169998,118.459999,118.919998,9887900,118.919998
2016-06-03,118.25,118.889999,118.230003,118.879997,14605100,118.879997
2016-06-02,115.779999,115.970001,115.580002,115.669998,4591600,115.669998
2016-06-01,115.970001,116.139999,115.199997,115.940002,8399600,115.940002
2016-05-31,115.760002,116.400002,115.50,116.059998,8187600,116.059998
2016-05-27,116.269997,116.360001,115.290001,115.620003,8686700,115.620003
2016-05-26,117.57,117.629997,116.389999,116.580002,5893500,116.580002
2016-05-25,116.589996,117.059998,116.32,116.980003,10487300,116.980003
2016-05-24,118.169998,118.230003,117.25,117.300003,12772000,117.300003
2016-05-23,118.860001,119.599998,118.75,119.370003,8628200,119.370003
2016-05-20,120.190002,120.32,119.309998,119.709999,10379400,119.709999
2016-05-19,119.00,119.980003,118.919998,119.870003,14339700,119.870003
2016-05-18,121.220001,121.919998,119.879997,120.099998,13381700,120.099998
2016-05-17,121.580002,122.519997,121.480003,122.220001,8619800,122.220001
2016-05-16,122.93,122.970001,121.379997,121.800003,7103000,121.800003
2016-05-13,121.089996,121.860001,120.660004,121.709999,7672800,121.709999
2016-05-12,122.019997,122.389999,121.00,121.160004,7447100,121.160004
2016-05-11,121.849998,122.160004,121.379997,122.120003,7590100,122.120003
2016-05-10,120.739998,121.379997,120.080002,120.980003,9845000,120.980003
2016-05-09,121.199997,121.290001,120.589996,120.650002,9236200,120.650002
2016-05-06,122.830002,123.809998,122.589996,123.18,11366800,123.18
2016-05-05,122.629997,122.730003,121.25,122.07,8846900,122.07
