Date,Open,High,Low,Close,Volume,Adj Close
2016-08-09,75.010002,75.620003,74.629997,75.00,1532200,75.00
2016-08-08,75.300003,75.400002,74.589996,74.919998,1147400,74.919998
2016-08-05,74.059998,75.080002,73.910004,75.07,1731800,75.07
2016-08-04,73.150002,73.610001,72.660004,73.279999,1316900,73.279999
2016-08-03,72.260002,73.080002,71.959999,73.019997,2366800,73.019997
2016-08-02,73.489998,73.699997,71.389999,72.370003,3468800,72.370003
2016-08-01,74.080002,74.540001,73.269997,73.790001,2075000,73.790001
2016-07-29,73.389999,74.43,73.019997,73.970001,1851400,73.970001
2016-07-28,73.18,74.00,72.639999,73.699997,1757000,73.699997
2016-07-27,74.120003,74.169998,72.510002,73.459999,2187300,73.459999
2016-07-26,73.449997,74.07,72.660004,73.639999,1766000,73.639999
2016-07-25,73.919998,73.959999,72.849998,73.610001,2013000,73.610001
2016-07-22,73.339996,74.209999,73.010002,74.169998,1629900,74.169998
2016-07-21,73.860001,74.150002,72.650002,73.18,1919700,73.18
2016-07-20,73.68,74.300003,73.160004,74.040001,1402200,74.040001
2016-07-19,72.82,73.160004,72.559998,73.099998,1933100,73.099998
2016-07-18,72.93,73.540001,72.610001,73.360001,1270100,73.360001
2016-07-15,73.699997,73.739998,72.239998,72.769997,2060400,72.769997
2016-07-14,73.349998,73.610001,72.589996,72.989998,2739800,72.989998
2016-07-13,72.389999,72.410004,71.290001,71.879997,2139700,71.879997
2016-07-12,71.489998,72.239998,71.209999,71.870003,2276000,71.870003
2016-07-11,70.18,71.019997,69.93,70.330002,2632000,70.330002
2016-07-08,68.110001,69.900002,67.870003,69.580002,3086400,69.580002
2016-07-07,67.010002,67.730003,65.82,66.629997,3045500,66.629997
2016-07-06,65.050003,66.93,64.330002,66.769997,3090200,66.769997
2016-07-05,66.129997,66.239998,64.949997,65.669998,2615000,65.669998
2016-07-01,66.519997,67.610001,66.510002,67.029999,2670500,67.029999
2016-06-30,64.50,66.699997,63.919998,66.559998,4361300,66.559998
2016-06-29,62.380001,64.260002,62.299999,64.07,3750500,64.07
2016-06-28,59.490002,60.93,59.139999,60.880001,4060600,60.880001
2016-06-27,59.630001,59.630001,57.00,57.75,4267100,57.75
